"METRIC","REDUND_MET"
"gregTol_Elmid","Elmid"
"FACLNTAX","TOTLNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"FACLPIND","TOLRPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"FACLPTAX","TOLRPTAX,gregTol_TOLRPTAX"
"INTLNTAX","INTLPTAX,gregTol_TL01NTAX,gregTol_TL01PTAX"
"INTLPIND","gregTol_TL01PIND"
"INTLPTAX","INTLNTAX,gregTol_TL01NTAX,gregTol_TL01PTAX"
"NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3"
"NTOLPIND","TL45PIND,TL67PIND,WTD_TV,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_TL67PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"NTOLPTAX","TL45PTAX,TL67PTAX,gregTol_NTOLPTAX,gregTol_TL67PTAX,X.BCG_pctIMP_att5,gregTol_.BCG_pctIMP_att5"
"STOLNTAX","STOLPTAX,gregTol_STOLNTAX,gregTol_STOLPTAX"
"STOLPIND","gregTol_STOLPIND"
"STOLPTAX","STOLNTAX,gregTol_STOLNTAX,gregTol_STOLPTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"TL01NTAX",""
"TL01PIND",""
"TL01PTAX",""
"TL23NTAX","TL23PTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"TL23PIND","gregTol_INTLPIND,gregTol_TL23PIND"
"TL23PTAX","TL23NTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"TL45NTAX","FACLNTAX,NTOLNTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"TL45PIND","NTOLPIND,TL67PIND,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_TL67PIND"
"TL45PTAX","NTOLPTAX,gregTol_NTOLPTAX,gregTol_TL45PTAX"
"TL67NTAX","gregTol_TL67NTAX"
"TL67PIND","NTOLPIND,TL45PIND,gregTol_NTOLPIND,gregTol_TL67PIND"
"TL67PTAX","NTOLPTAX,gregTol_NTOLPTAX,gregTol_TL67PTAX"
"TOLRNTAX","gregTol_TOLRNTAX"
"TOLRPIND","FACLPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"TOLRPTAX","FACLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
"WTD_TV","NTOLPIND,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_FACLNTAX","TOTLNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"gregTol_FACLPIND","FACLPIND,TOLRPIND,gregTol_TOLRPIND"
"gregTol_FACLPTAX",""
"gregTol_INTLNTAX","TL23NTAX,TL23PTAX,gregTol_INTLPTAX"
"gregTol_INTLPIND","TL23PIND"
"gregTol_INTLPTAX","TL23NTAX,TL23PTAX,gregTol_INTLNTAX"
"gregTol_NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3"
"gregTol_NTOLPIND","NTOLPIND,TL45PIND,TL67PIND,WTD_TV,gregTol_TL45PIND,gregTol_TL67PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_NTOLPTAX","NTOLPTAX,TL45PTAX,TL67PTAX,gregTol_TL67PTAX,X.BCG_pctIMP_att5,gregTol_.BCG_pctIMP_att5"
"gregTol_STOLNTAX","STOLNTAX,STOLPTAX,gregTol_STOLPTAX"
"gregTol_STOLPIND","STOLPIND"
"gregTol_STOLPTAX","STOLNTAX,STOLPTAX,gregTol_STOLNTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"gregTol_TL01NTAX","INTLNTAX,INTLPTAX,gregTol_TL01PTAX"
"gregTol_TL01PIND","INTLPIND"
"gregTol_TL01PTAX","INTLNTAX,INTLPTAX,gregTol_TL01NTAX"
"gregTol_TL23NTAX","TL23NTAX,TL23PTAX,gregTol_TL23PTAX"
"gregTol_TL23PIND","TL23PIND"
