"METRIC","REDUND_MET"
"FACLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,CLNGNTAX"
"FACLPIND","TOLRPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"FACLPTAX","NTOLPTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"INTLNTAX","INTLPTAX"
"INTLPIND",""
"INTLPTAX","INTLNTAX"
"NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"NTOLPIND","TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"NTOLPTAX","FACLPTAX,NTOLNTAX,TL45NTAX,TL45PTAX,TL67PTAX,TOLRPTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"STOLNTAX","STOLPTAX,gregTol_STOLNTAX,gregTol_STOLPTAX"
"STOLPIND","gregTol_STOLPIND"
"STOLPTAX","STOLNTAX,gregTol_STOLNTAX,gregTol_STOLPTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"TL01NTAX",""
"TL01PIND",""
"TL01PTAX",""
"TL23NTAX","TL23PTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"TL23PIND","gregTol_INTLPIND"
"TL23PTAX","TL23NTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"TL45NTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3"
"TL45PIND","NTOLPIND,gregTol_NTOLPIND,gregTol_TL45PIND,Genus.HBI"
"TL45PTAX","NTOLPTAX,TL45NTAX,TL67PTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,gregTol_TL67PTAX"
