"METRIC","REDUND_MET"
"ODONNTAX","ODONPTAX"
"OLLENTAX",""
"PLECNTAX","PLECPTAX"
"TRICNTAX",""
"Genus.Total.Taxa","CHIRPTAX,TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME,DOM5PIND,CLNGNTAX"
"Genus.EPT.Taxa","EPOTPTAX,EPT_PTAX,TOTLNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"Elmid","gregTol_Elmid"
"gregTol_Genus.Total.Taxa","CHIRPTAX,TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME,DOM5PIND,CLNGNTAX"
"gregTol_Genus.EPT.Taxa","EPOTPTAX,EPT_PTAX,TOTLNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"gregTol_Elmid","Elmid"
"FACLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"FACLPIND","TOLRPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"FACLPTAX","NTOLPTAX,TL45PTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_spCond_att5,X.BCG_TNTP_att5,X.BCG_totHab_att5,X.BCG_pctIMP_att5,gregTol_.BCG_spCond_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_totHab_att5,gregTol_.BCG_pctIMP_att5"
"INTLNTAX","INTLPTAX,gregTol_TL01NTAX,gregTol_TL01PTAX"
"INTLPIND","gregTol_TL01PIND"
"INTLPTAX","INTLNTAX,gregTol_TL01NTAX,gregTol_TL01PTAX"
"NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"NTOLPIND","X.EPT.H.C,gregTol_.EPT.H.C,TL45PIND,TL67PIND,WTD_TV,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_TL67PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"NTOLPTAX","X.EPT65,gregTol_.EPT45,gregTol_.EPT65,FACLPTAX,NTOLNTAX,TL45NTAX,TL45PTAX,TL67PTAX,TOLRPTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"STOLNTAX","gregTol_STOLNTAX"
"STOLPIND","gregTol_STOLPIND"
"STOLPTAX","TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
"TL01NTAX",""
"TL01PIND",""
"TL01PTAX",""
"TL23NTAX","TL23PTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"TL23PIND","gregTol_INTLPIND"
"TL23PTAX","TL23NTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
